18/09 08:32:45:082 Command Routing started
18/09 08:32:45:105 Starting process session
18/09 08:32:47:038 Total 0 instances are started
18/09 08:32:47:039 Total 1 instances are added
18/09 08:33:13:888 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.89:7676]. - cause: java.net.ConnectException: Connection timed out: connect
18/09 08:33:13:889 Consumer was closed, reconnect.
18/09 08:33:13:993 Total 0 instances are started
18/09 08:33:13:994 Total 1 instances are added
18/09 08:34:26:996 Command Routing started
18/09 08:34:27:023 Starting process session
18/09 08:34:27:146 Total 0 instances are started
18/09 08:34:27:148 Total 1 instances are added
18/09 08:34:32:099 Close queue connection pool.
18/09 08:34:32:117 End of process session
18/09 08:34:32:180 Command Routing stopped
18/09 08:34:34:019 Command Routing started
18/09 08:34:34:043 Starting process session
18/09 08:34:34:159 Total 0 instances are started
18/09 08:34:34:160 Total 1 instances are added
18/09 08:35:10:199 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:200 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:201 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:203 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:204 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:208 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:210 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:211 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:212 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:213 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:214 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:215 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:217 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:218 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:219 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:220 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:221 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:224 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:225 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:226 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:227 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:228 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:229 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:230 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:232 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:234 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:236 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:237 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:239 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:240 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:242 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:243 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:244 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:245 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:246 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:248 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:249 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:251 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:252 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:253 84922000514: SMSC - SMSC.SEND_SMS
